"","GEOID","Pop_total","Limited_Eng_per","Poverty_per","Uninsured_per","NonHisp_asian_per","NonHisp_pi_per","NonHisp_black_per","NonHisp_white_per","Hisp_per","NonHisp_ai_per"
"1229","06037408006",3344,24.1789177353769,14.6531100478469,3.7,53.6782296650718,0.269138755980861,3.97727272727273,3.52870813397129,36.572966507177,0
"1230","06037408133",5203,25.4129606099111,13.3346161246873,8.8,34.9990390159523,0,4.15145108591197,6.13107822410148,53.3153949644436,0
"1231","06037408134",2760,17.0959313176558,13.8405797101449,6.8,50.3985507246377,0,5,10.5072463768116,30.2536231884058,0
"1232","06037408135",3882,22.0917225950783,10.0335310807325,3.7,48.6604842864503,0,4.55950540958269,8.50077279752705,37.1715610510046,0
"1233","06037408136",4224,27.1559179639239,5.75284090909091,6.3,31.8655303030303,0,6.20265151515152,8.02556818181818,52.6515151515151,0.449810606060606
"1234","06037408137",4277,25.8785942492013,15.9925181201777,6,36.5676876315174,1.26256722001403,7.55202244563947,8.30021042787,45.1484685527239,0
"1235","06037408138",5432,27.4502070597515,18.6755952380952,13.5,4.60235640648012,0,0.736377025036819,4.71281296023564,89.120029455081,0
"1236","06037408139",4536,34.8623853211009,11.246337615506,13.6,2.44708994708995,0,0.330687830687831,3.06437389770723,94.157848324515,0
"1237","06037408140",3793,34.1100505334082,15.6867914579489,17.7,5.90561560769839,0,0.817295017136831,2.16187714210388,91.1152122330609,0
"1238","06037408141",5366,39.2012716073912,7.45039311119431,13.5,18.3190458442042,0,0.111815132314573,0.894521058516586,80.6746179649646,0
"1239","06037408202",2015,27.7456647398844,17.8172588832487,15.9,10.3722084367246,0,0,6.69975186104218,80.7940446650124,0
"1240","06037408211",6381,56.8124775905342,8.46335697399527,12.3,63.9868359191349,0,1.17536436295252,4.21564018178969,28.9923209528287,0
"1241","06037408212",5042,37.7743968702456,9.72801270597578,3.8,58.0126933756446,0,3.47084490281634,7.29869099563665,29.6905989686632,0.0198333994446648
"1242","06037408301",5569,34.4484802141082,13.3490309726499,10.4,9.33740348356976,0,0.538696354821332,1.63404560962471,88.4898545519842,0
"1243","06037408302",3836,33.01317233809,4.24921793534932,9.6,16.0323253388947,0,0,7.14285714285714,75.5474452554745,0
"1244","06037408303",4183,23.00796812749,3.3397405093705,9,17.8101840784126,0,1.21922065503227,13.5070523547693,67.4635429117858,0
"1245","06037408401",4389,24.7214979853046,8.24529168580615,6.5,25.7461836409205,0,2.57461836409205,9.50102529049897,61.9958988380041,0
"1246","06037408402",6646,27.9588607594937,6.59125188536953,5.9,21.0502557929582,0,1.02317183268131,16.250376166115,61.3903099608787,0.285886247366837
"1247","06037408501",3050,33.7716262975779,15.2832674571805,9.1,23.4754098360656,0,0.459016393442623,4.91803278688525,70.9180327868852,0
"1248","06037408503",6673,27.6908181378086,3.57250075052537,1.5,44.5826464858385,0.239772216394425,1.70837704181028,16.8739697287577,33.8828113292372,0.329686797542335
"1249","06037408504",5193,26.1519557648986,11.5777306877288,6.3,33.6221837088388,0,0.192566917003659,10.9763142692085,53.9957635278259,0
