"GEOID","Pop_total","Limited_Eng","B16004_001E","Poverty","B17021_001E","Uninsured","B27010_001E","NonHisp_asian","NonHisp_pi","NonHisp_black","NonHisp_white","Hisp","NonHisp_ai","Male","Female","Age_5under","Age_5to14","Age_15to17","Age_18to20","Age_21to64","Age_65above","vac_per"
"060372042001",1886,478,1767,738,1886,328,1886,23,0,12,38,1813,0,1030,856,119,387,106,126,1021,127,55.8
"060372043002",1958,608,1789,194,1958,405,1958,7,0,2,12,1937,0,948,1010,169,149,117,130,1204,189,55.8
"060372098202",1113,324,972,330,1108,169,1113,48,0,6,31,1021,0,462,651,141,197,32,15,624,104,53.1
"060374033232",1877,159,1858,40,1862,30,1877,1077,38,55,431,276,0,823,1054,19,313,81,89,1054,321,70.6
"060374034012",1214,246,1160,143,1214,110,1214,989,0,0,9,216,0,621,593,54,148,10,30,733,239,72.1
"060374040003",1079,148,1033,11,1079,55,1079,68,0,0,260,751,0,420,659,46,204,60,15,608,146,58.9
"060372293001",2296,513,2131,770,2296,455,2296,0,0,291,39,1935,0,1227,1069,165,463,172,112,1313,71,49
"060372361003",1677,0,1659,445,1677,114,1677,0,0,1292,18,367,0,509,1168,18,165,114,0,1135,245,51.7
"060372411204",1363,291,1262,757,1363,238,1363,0,0,303,26,1034,0,513,850,101,279,104,83,734,62,45.4
"060371433002",2314,146,2288,69,2314,339,2314,141,0,201,1277,578,0,1179,1135,26,164,0,40,1838,246,66.2
"060371433005",1571,0,1399,39,1571,90,1571,156,0,69,1276,32,0,669,902,172,126,11,0,977,285,74.8
"060374024041",1862,16,1862,0,9,72,1862,448,0,138,608,522,0,950,912,0,0,63,1605,194,0,16.4
"060371256003",909,57,860,257,909,67,909,40,0,11,618,229,0,466,443,49,117,16,10,551,166,71.1
"060371234101",3007,803,2799,595,2929,371,2929,206,0,52,1080,1662,0,1497,1510,208,331,49,127,2039,253,55.4
"060371247004",1182,0,1154,13,1182,171,1182,93,0,16,866,153,0,446,736,28,71,16,0,938,129,71.5
"060374312002",1868,316,1723,249,1743,277,1743,283,7,182,56,1259,0,987,881,145,218,22,115,1173,195,61.5
"060376003021",1299,148,1259,267,1283,151,1299,0,0,518,16,728,0,630,669,40,207,98,47,661,246,46.5
"060376008021",918,0,918,44,918,37,918,0,0,902,0,16,0,500,418,0,0,28,86,682,122,54.9
"060371031021",751,235,730,36,751,22,751,144,0,0,358,234,0,399,352,21,18,15,11,541,145,51.7
