"GEOID","B16004_001E","B16004_001M","B16004_007E","B16004_007M","B16004_008E","B16004_008M","B16004_012E","B16004_012M","B16004_013E","B16004_013M","B16004_017E","B16004_017M","B16004_018E","B16004_018M","B16004_022E","B16004_022M","B16004_023E","B16004_023M","B16004_029E","B16004_029M","B16004_030E","B16004_030M","B16004_034E","B16004_034M","B16004_035E","B16004_035M","B16004_039E","B16004_039M","B16004_040E","B16004_040M","B16004_044E","B16004_044M","B16004_045E","B16004_045M","B16004_051E","B16004_051M","B16004_052E","B16004_052M","B16004_056E","B16004_056M","B16004_057E","B16004_057M","B16004_061E","B16004_061M","B16004_062E","B16004_062M","B16004_066E","B16004_066M","B16004_067E","B16004_067M","B17021_001E","B17021_001M","B17021_002E","B17021_002M","B27010_001E","B27010_001M","B27010_017E","B27010_017M","B27010_033E","B27010_033M","B27010_050E","B27010_050M","B27010_066E","B27010_066M","B03002_001E","B03002_001M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_004E","B03002_004M","B03002_003E","B03002_003M","B03002_012E","B03002_012M","B03002_005E","B03002_005M"
"060375426022",2195,591,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,81,70,269,224,0,12,0,12,0,12,0,12,0,12,0,12,21,26,23,27,0,12,0,12,0,12,0,12,0,12,0,12,2468,662,220,201,2468,662,40,44,215,131,170,151,0,12,2468,662,0,12,0,12,521,278,0,12,1941,620,0,12
"060375433221",1040,440,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,23,13,21,0,12,0,12,13,25,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1054,447,10,18,1054,447,0,12,15,26,26,43,0,12,1059,446,95,114,0,12,770,403,46,46,129,121,0,12
"060374012011",1237,299,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,9,14,0,12,0,12,0,12,0,12,0,12,47,65,0,12,0,12,0,12,0,12,0,12,0,12,0,12,46,64,0,12,1380,355,52,68,1380,355,56,81,8,12,43,42,0,12,1380,355,162,102,15,24,9,14,788,354,386,175,0,12
"060374021011",1884,430,0,12,0,12,0,12,0,12,10,15,0,12,0,12,0,12,46,36,15,27,0,12,0,12,79,47,24,30,0,12,0,12,14,24,16,27,0,12,0,12,7,11,12,19,0,12,0,12,2108,471,384,253,2095,472,9,14,70,70,117,72,0,12,2108,471,316,147,0,12,146,98,193,101,1395,431,8,20
"060372095202",835,203,12,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,215,74,76,52,0,12,0,12,4,8,0,12,0,12,0,12,0,12,64,47,0,12,0,12,0,12,0,12,0,12,0,12,913,237,382,176,913,237,36,56,92,48,201,70,0,12,913,237,65,44,0,12,5,8,5,10,817,242,21,36
"060372114102",741,235,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,11,0,12,0,12,0,12,54,39,27,31,14,23,0,12,0,12,0,12,0,12,0,12,63,46,0,12,0,12,0,12,758,246,95,77,758,246,0,12,19,29,59,46,0,12,758,246,519,219,0,12,0,12,55,50,99,96,24,37
"060372115003",799,250,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,25,40,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,9,15,0,12,4,8,4,8,0,12,0,12,847,290,151,228,847,290,0,12,0,12,25,40,0,12,847,290,162,135,0,12,16,18,388,145,175,239,0,12
"060372128003",873,306,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,16,22,23,0,12,0,12,16,28,0,12,0,12,0,12,70,59,95,66,0,12,0,12,11,18,0,12,0,12,0,12,873,306,131,96,873,306,9,14,33,40,13,23,0,12,873,306,94,83,0,12,110,137,94,91,475,229,0,12
"060372131002",1177,236,0,12,0,12,0,12,0,12,21,25,0,12,0,12,0,12,0,12,0,12,0,12,0,12,103,57,15,25,0,12,0,12,10,14,10,14,0,12,0,12,43,29,15,18,0,12,0,12,1138,248,136,68,1138,248,8,11,35,49,84,63,10,16,1220,252,669,194,0,12,231,162,179,110,135,73,0,12
"060372163001",1408,330,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,64,102,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1460,341,82,85,1460,341,0,12,91,147,0,12,0,12,1460,341,186,137,0,12,253,163,634,230,350,239,17,27
"060372198002",984,188,52,58,0,12,0,12,0,12,0,12,0,12,0,12,0,12,128,55,30,26,0,12,0,12,0,12,0,12,0,12,0,12,9,10,27,29,0,12,0,12,0,12,0,12,0,12,0,12,1044,204,338,163,1044,204,0,12,70,42,103,50,9,15,1044,204,0,12,0,12,183,98,52,37,796,196,0,12
"060372227001",4071,366,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,7,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,345,125,272,107,4071,366,20,25,63,36,0,12,0,12,4071,366,1328,208,30,23,288,114,1714,232,574,126,0,12
"060379200453",1013,229,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,22,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,27,26,0,12,0,12,0,12,1059,238,62,63,1059,238,0,12,0,12,0,12,0,12,1059,238,228,141,0,12,41,66,617,153,162,136,0,12
"060374803032",2618,294,0,12,0,12,0,12,0,12,12,17,0,12,0,12,0,12,94,75,27,40,0,12,0,12,167,73,41,41,0,12,0,12,36,33,0,12,0,12,0,12,110,56,24,25,0,12,0,12,2805,314,377,208,2805,314,18,28,106,63,119,58,0,12,2805,314,1123,238,13,20,178,176,107,66,1359,242,0,12
"060375361033",1857,530,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,118,76,26,30,0,12,0,12,0,12,0,12,0,12,0,12,12,21,58,55,0,12,0,12,0,12,0,12,0,12,0,12,2013,564,103,77,2013,564,0,12,167,139,156,110,0,12,2013,564,0,12,0,12,0,12,44,37,1948,559,0,12
"060376040011",1547,296,0,12,0,12,17,26,0,12,0,12,0,12,0,12,0,12,137,85,13,19,0,12,0,12,31,38,0,12,0,12,0,12,0,12,14,23,0,12,0,12,0,12,0,12,0,12,0,12,1648,313,206,163,1661,315,0,12,49,32,92,77,0,12,1661,315,257,187,0,12,169,128,195,94,1014,295,0,12
